61,913
48,712
53,789
54,802
56,834
44,649
60,891
42,625
62,925
13,194
21,301
48,712
62,925
55,813
53,789
34,507
45,671
57,843
42,625
42,625
50,746
21,301
50,746
21,301
59,873
42,625
34,507
57,843
38,570
45,671
61,905
52,776
27,393
55,813
50,746
48,712
45,671
61,905
59,880
44,649
59,880
49,730
57,851
45,671
57,843
61,913
44,649
29,434
53,789
45,671
58,867
48,712
60,891
51,762
47,692
27,393
62,928
52,776
45,671
54,802
45,671
34,507
17,249
34,507
9,134
24,348
24,348
34,507
61,913
45,671
53,789
42,625
36,540
40,598
40,598
34,507
59,873
59,873
62,925
48,712
27,393
29,434
62,919
62,916
42,625
42,625
29,434
49,730
54,802
9,134
57,843
47,692
55,813
58,859
49,730
55,813
36,540
57,843
50,746
45,671
40,598
62,919
45,671
56,834
44,649
55,824
55,824
40,598
27,393
40,598
45,671
54,802
58,867
45,671
62,930
54,802
62,928
48,712
45,671
47,692
54,802
60,891
54,802
32,472
47,692
24,348
55,824
55,813
44,649
59,880
38,570
56,834
55,824
54,802
47,692
59,873
44,649
44,649
59,873
45,671
60,896
34,507
32,472
61,901
56,834
59,880
9,134
59,873
44,649
36,540
50,746
55,824
47,692
40,598
45,671
29,434
50,746
62,922
32,472
58,867
32,472
42,625
58,859
61,913
48,712
59,873
53,789
45,671
59,873
50,746
61,909
62,922
51,762
59,880
59,880
34,507
51,762
47,692
40,598
51,762
17,249
60,891
50,746
44,649
50,746
58,859
51,888
1,126
1,100
1,38
1,55
1,36
1,51
1,55
1,34
1,14
1,12
1,19
1,19
1,13
1,27
1,16
1,4
1,5
1,5
1,2
1,5
1,3
1,1
